Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,start,end
5550,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",Chandler,neutral,neutral,559,0,1,1,0 days 00:01:19.037000,0 days 00:01:25.417000,,
5551,"Oh, yeah. Had that dream.",All,neutral,neutral,559,1,1,1,0 days 00:01:25.627000,0 days 00:01:27.169000,,
5552,"Then I look down, and I realize there's a phone... there.",Chandler,surprise,negative,559,2,1,1,0 days 00:01:27.378000,0 days 00:01:31.465000,,
5553,Instead of...?,Joey,surprise,negative,559,3,1,1,0 days 00:01:34.928000,0 days 00:01:35.600000,71.35,72.082
5554,That's right.,Chandler,neutral,neutral,559,4,1,1,0 days 00:01:35.600000,0 days 00:01:36.892000,72.136,72.98
5555,Never had that dream.,Joey,neutral,neutral,559,5,1,1,0 days 00:01:37.055000,0 days 00:01:37.973000,,
5556,No.,Phoebe,neutral,neutral,559,6,1,1,0 days 00:01:37.973000,0 days 00:01:38.629000,133.43,133.902
5557,"All of a sudden, the phone starts to ring.",Chandler,neutral,neutral,559,7,1,1,0 days 00:01:38.723000,0 days 00:01:42.851000,75.03,78.93
7646,"I don't want to be single, okay? I just... I just- I just wanna be married again!",Ross,sadness,negative,769,0,1,1,0 days 00:03:22.660000,0 days 00:03:25.829000,,
7647,And I just want a million dollars!,Chandler,fear,negative,769,1,1,1,0 days 00:03:29.959000,0 days 00:03:33.086000,218.47,220.9
7648,Rachel?!,Monica,surprise,negative,769,2,1,1,0 days 00:03:34.214000,0 days 00:03:35.297000,226.15,227.166
209,Really? A purse?,Joey,surprise,positive,19,0,1,1,0 days 00:04:43.666000,0 days 00:04:45.033000,,
9633,"Well, it was loong.",Ross,sadness,negative,958,0,1,1,0 days 00:05:25.450000,0 days 00:05:30.120000,,
201,Hey.,Joey,neutral,neutral,19,0,1,1,0 days 00:10:11.861000,0 days 00:10:14.990000,240.33,240.742
202,Hey!,Phoebe,neutral,neutral,19,1,1,1,0 days 00:10:14.990000,0 days 00:10:15.133000,240.33,240.742
